utc,initiative,purpose,dev_plan_task,sap_path,odata_query,http_status,elapsed_s,result,rows_returned,has_next,note_or_sample
2026-09-23T10:01:51Z,ALL,Paging: large set page-until-short-page viability,W2.3/W3.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialDocumentHeaderSet,$top=1000&$skip=40000&$format=json,200,0.3,651 row(s),651,no,"{""Mblnr"": ""5000011319"", ""Mjahr"": ""2018"", ""Budat"": ""/Date(1520978400000)/"", ""Cpudt"": ""/Date(1520978400000)/"", ""Xblnr"": """"}"
2026-09-23T10:01:51Z,ALL,Paging: does $orderby work despite sortable=false,W2.3,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/PurchaseOrderSet,$orderby=Aedat desc&$top=3&$format=json,200,0.1,3 row(s),3,no,"{""Ebeln"": ""4100001503"", ""Bsart"": ""ZDOM"", ""Aedat"": ""/Date(1789423200000)/"", ""Bedat"": ""/Date(1789423200000)/"", ""Lifnr"": ""0000400000"", ""Ekorg"": ""1000"", ""Ekgrp"": ""B01"", ""Waers"": ""ZAR""}"
2026-09-23T10:01:52Z,I07,FR-9: MARC field changes DISMM,W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet/$count,$filter=Objectclas eq 'MATERIAL' and Tabname eq 'MARC' and Fname eq 'DISMM',200,0.2,80,,,
2026-09-23T10:01:52Z,I07,FR-9: MARC field changes EISBE,W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet/$count,$filter=Objectclas eq 'MATERIAL' and Tabname eq 'MARC' and Fname eq 'EISBE',200,0.2,7,,,
2026-09-23T10:01:52Z,I07,FR-9: MARC field changes MINBE,W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet/$count,$filter=Objectclas eq 'MATERIAL' and Tabname eq 'MARC' and Fname eq 'MINBE',200,0.1,47,,,
2026-09-23T10:01:52Z,I07,FR-9: MARC field changes MABST,W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet/$count,$filter=Objectclas eq 'MATERIAL' and Tabname eq 'MARC' and Fname eq 'MABST',200,0.1,29,,,
2026-09-23T10:01:52Z,I07,FR-9: conversions to Min-Max (DISMM new value VB),W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet/$count,$filter=Objectclas eq 'MATERIAL' and Tabname eq 'MARC' and Fname eq 'DISMM' and Value_new eq 'VB',200,0.1,13,,,
2026-09-23T10:01:55Z,I07,"FR-9: header join sample, MATERIAL class",W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocHeaderSet,$filter=Objectclas eq 'MATERIAL'&$top=3&$format=json,500,0.9,HTTP 500,,,
2026-09-23T10:01:55Z,I07/I13,OAR classifier: MRP type VB (Min-Max),W2.4,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet/$count,$filter=Dismm eq 'VB',200,0.2,45,,,
2026-09-23T10:01:55Z,I07/I13,OAR classifier: MRP type ND (OAR),W2.4,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet/$count,$filter=Dismm eq 'ND',200,0.2,184,,,
